FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,SPIELPLATZ_DETAIL,TYP_DETAIL,SE_ANNO_CAD_DATA
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e57,493435,POINT (16.416051428276372 48.16745821703907),Luise-Montag-Park,11,"Drehen, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln, Seilbahn, Wippen","Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e58,493436,POINT (16.41710818767053 48.16802566867906),Luise-Montag-Park,11,Fitness,Generationenspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e59,493437,POINT (16.4175411374223 48.23113701723859),PA Weissauweg,22,"Balancieren, Basketball, Fußball, Hängematte, Volleyball","Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e5a,493438,POINT (16.418705795876136 48.231497567932266),PA Weissauweg,22,Tischtennis,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e5b,493439,POINT (16.433642944535272 48.25449427322233),Gusti-Wolf-Park,22,"Basketball, Fitness, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen","Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e5c,493440,POINT (16.44160796003662 48.24523721643026),Jakob-Rosenfeld-Park,22,"Balancieren, Hängematte, Karussell, Klettern, Sandspiel, Schaukeln, Themenspiel Dschungel, Wasserspiel, Wippe",Themenspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e5d,493441,POINT (16.27172795939708 48.166413333351684),PA Lainzerbachstraße,13,"Drehen, Karussell, Klettern, Rutschen, Sandspielen, Schaukeln",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e5e,493442,POINT (16.366755403876038 48.25385246869134),Hilde-Spiel-Park,19,"Basketball, Beachvolleyball, Fitness, Fußball, Slackline","Ballspielkäfig, Generationenspielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e5f,493443,POINT (16.307093137272854 48.2011929394534),Ordeltpark,14,"Basketball, Fußball, Klettern, Malen, Reck, Rutschen, Sandspielen, Schaukeln, Wippen","Ballspielkäfig, Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid--55c549b4_175f5da1e0e_2e60,493444,POINT (16.407258278459167 48.25533647758513),Joseph-Samuel-Bloch-Park,21,"Klettern, Rutschen, Sandspielen, Schaukeln, Slackline, Wasserspiel, Wippen","Kleinkinderspielplatz, sonstiger Spielplatz",
